Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,pa',78
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,tomar,79
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,con,80
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,matecito,81
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,como,82
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,si,83
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,estuvieras,84
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,vos,84
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,y,84
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,si,84
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,vieras,85
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,la,85
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,catrera,86
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,como,86
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,se,87
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,pone,88
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,cabrera,89
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,cuando,89
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,no,89
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,nos,90
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ve,91
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,a,91
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,los,92
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,dos,93
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,verso,93
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,4,94
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ya,94
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,no,94
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,hay,94
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,en,94
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,el,94
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,bulin,95
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,aquellos,96
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,lindos,97
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,frasquitos,98
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,adornados,99
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,con,99
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,moñitos,100
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,todos,101
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,de,101
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,un,102
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,mismo,103
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,color,104
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,y,104
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,el,104
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,espejo,105
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,esta,106
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,empañado,107
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,si,107
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,parece,108
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,que,108
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ha,109
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,llorado,110
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,por,110
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,la,110
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ausencia,111
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,de,111
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,tu,111
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,amor,111
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,verso,111
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,5,112
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,la,112
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,guitarra,113
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,en,113
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,el,113
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ropero,114
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,todavía,115
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,esta,115
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,colgada,116
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,nadie,117
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,en,117
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ella,118
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,canta,119
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,nada,120
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ni,121
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,hace,122
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,sus,123
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,cuerdas,124
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,vibrar,125
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,y,125
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,la,125
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,lampara,126
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,del,127
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,cuarto,128
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,también,129
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,tu,129
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ausencia,129
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ha,129
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,sentido,130
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,porque,130
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,su,131
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,luz,132
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,no,132
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,ha,132
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,querido,133
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,mi,133
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,noche,133
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,triste,133
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,alumbrar,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,verso,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,1,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,percanta,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,que,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,me,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,amuraste,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,en,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,lo,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,mejor,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,de,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,mi,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,vida,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,dejándome,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,el,134
Carlos Gardel,Mi noche triste,23 grandes tangos,1917-01-03,alma,134
